Quarter,Category,SubCategory,Sales
3rd quarter 2019,"Total
E-commerce","Food and
beverage",5921
3rd quarter 2019,"Total
E-commerce","Health and
personal
care",1244
3rd quarter 2019,"Total
E-commerce","Sporting goods, hobby
musical instrument,
and books",2105
3rd quarter 2019,"Total
E-commerce","Miscellaneous
including gasoline
stations",3611
3rd quarter 2019,"Total Store and
Non-store
Sales",Nonstore retailers,130316
3rd quarter 2019,"Total
E-commerce",Nonstore retailers,83174
2nd quarter 2019,"Total Store and
Non-store
Sales",Total Retail Trade,1366265
2nd quarter 2019,"Total
E-commerce",Total Retail Trade,132399
2nd quarter 2019,"Total Store and
Non-store
Sales","Motor vehicle
and parts",319919
2nd quarter 2019,"Total
E-commerce","Motor vehicle
and parts",9939
2nd quarter 2019,"Total Store and
Non-store
Sales","Furniture, building materials,
and electronics",167525
2nd quarter 2019,"Total
E-commerce","Furniture, building materials,
and electronics",13651
2nd quarter 2019,"Total
E-commerce","Furniture and
home
furnishings",2790
2nd quarter 2019,"Total
E-commerce",Electronics and appliance,6706
2nd quarter 2019,"Total
E-commerce","Building materials,
garden equipment
and supplies",4155
2nd quarter 2019,"Total Store and
Non-store
Sales","Clothing and
general merchandise",260733
2nd quarter 2019,"Total
E-commerce","Clothing and
general merchandise",21020
2nd quarter 2019,"Total
E-commerce","Clothing and
clothing
accessories",9779
2nd quarter 2019,"Total
E-commerce","General
merchandise",11241
2nd quarter 2019,"Total Store and
Non-store
Sales",All other,488596
2nd quarter 2019,"Total
E-commerce",All other,8746
2nd quarter 2019,"Total
E-commerce","Food and
beverage",2158
2nd quarter 2019,"Total
E-commerce","Health and
personal
care",1359
2nd quarter 2019,"Total
E-commerce","Sporting goods, hobby
musical instrument,
and books",1761
2nd quarter 2019,"Total
E-commerce","Miscellaneous
including gasoline
stations",3468
2nd quarter 2019,"Total Store and
Non-store
Sales",Nonstore retailers,129492
2nd quarter 2019,"Total
E-commerce",Nonstore retailers,79043
1st quarter 2019,"Total Store and
Non-store
Sales",Total Retail Trade,1230871
1st quarter 2019,"Total
E-commerce",Total Retail Trade,121578
1st quarter 2019,"Total Store and
Non-store
Sales","Motor vehicle
and parts",288439
1st quarter 2019,"Total
E-commerce","Motor vehicle
and parts",8964
1st quarter 2019,"Total Store and
Non-store
Sales","Furniture, building materials,
and electronics",140705
1st quarter 2019,"Total
E-commerce","Furniture, building materials,
and electronics",12727
1st quarter 2019,"Total
E-commerce","Furniture and
home
furnishings",2535
1st quarter 2019,"Total
E-commerce",Electronics and appliance,7059
1st quarter 2019,"Total
E-commerce","Building materials,
garden equipment
and supplies",3133
1st quarter 2019,"Total Store and
Non-store
Sales","Clothing and
general merchandise",233473
1st quarter 2019,"Total
E-commerce","Clothing and
general merchandise",18784
1st quarter 2019,"Total
E-commerce","Clothing and
clothing
accessories",9289
1st quarter 2019,"Total
E-commerce","General
merchandise",9495
1st quarter 2019,"Total Store and
Non-store
Sales",All other,445323
1st quarter 2019,"Total
E-commerce",All other,8247
1st quarter 2019,"Total
E-commerce","Food and
beverage",1948
1st quarter 2019,"Total
E-commerce","Health and
personal
care",1141
1st quarter 2019,"Total
E-commerce","Sporting goods, hobby
musical instrument,
and books",1797
1st quarter 2019,"Total
E-commerce","Miscellaneous
including gasoline
stations",3361
1st quarter 2019,"Total Store and
Non-store
Sales",Nonstore retailers,122931
1st quarter 2019,"Total
E-commerce",Nonstore retailers,72856
4th quarter 2018,"Total Store and
Non-store
Sales",Total Retail Trade,1395223
4th quarter 2018,"Total
E-commerce",Total Retail Trade,155545
4th quarter 2018,"Total Store and
Non-store
Sales","Motor vehicle
and parts",295742
4th quarter 2018,"Total
E-commerce","Motor vehicle
and parts",9292
4th quarter 2018,"Total Store and
Non-store
Sales","Furniture, building materials,
and electronics",166481
4th quarter 2018,"Total
E-commerce","Furniture, building materials,
and electronics",17984
4th quarter 2018,"Total
E-commerce","Furniture and
home
furnishings",3157
4th quarter 2018,"Total
E-commerce",Electronics and appliance,11210
4th quarter 2018,"Total
E-commerce","Building materials,
garden equipment
and supplies",3617
4th quarter 2018,"Total Store and
Non-store
Sales","Clothing and
general merchandise",308504
4th quarter 2018,"Total
E-commerce","Clothing and
general merchandise",30688
4th quarter 2018,"Total
E-commerce","Clothing and
clothing
accessories",14642
4th quarter 2018,"Total
E-commerce","General
merchandise",16046
4th quarter 2018,"Total Store and
Non-store
Sales",All other,486242
4th quarter 2018,"Total
E-commerce",All other,9646
4th quarter 2018,"Total
E-commerce","Food and
beverage",1847
4th quarter 2018,"Total
E-commerce","Health and
personal
care",1714
4th quarter 2018,"Total
E-commerce","Sporting goods, hobby
musical instrument,
and books",2471
4th quarter 2018,"Total
E-commerce","Miscellaneous
including gasoline
stations",3614
4th quarter 2018,"Total Store and
Non-store
Sales",Nonstore retailers,138254
4th quarter 2018,"Total
E-commerce",Nonstore retailers,87935
3rd quarter 2018,"Total Store and
Non-store
Sales",Total Retail Trade,1314963
3rd quarter 2018,"Total
E-commerce",Total Retail Trade,120554
3rd quarter 2018,"Total Store and
Non-store
Sales","Motor vehicle
and parts",308145
3rd quarter 2018,"Total
E-commerce","Motor vehicle
and parts",9230
3rd quarter 2018,"Total Store and
Non-store
Sales","Furniture, building materials,
and electronics",160031
3rd quarter 2018,"Total
E-commerce","Furniture, building materials,
and electronics",13970
3rd quarter 2018,"Total
E-commerce","Furniture and
home
furnishings",2568
3rd quarter 2018,"Total
E-commerce",Electronics and appliance,8091
3rd quarter 2018,"Total
E-commerce","Building materials,
garden equipment
and supplies",3311
3rd quarter 2018,"Total Store and
Non-store
Sales","Clothing and
general merchandise",253141
3rd quarter 2018,"Total
E-commerce","Clothing and
general merchandise",18914
3rd quarter 2018,"Total
E-commerce","Clothing and
clothing
accessories",9387
3rd quarter 2018,"Total
E-commerce","General
merchandise",9527
3rd quarter 2018,"Total Store and
Non-store
Sales",All other,479494
3rd quarter 2018,"Total
E-commerce",All other,7523
3rd quarter 2018,"Total
E-commerce","Food and
beverage",1440
3rd quarter 2018,"Total
E-commerce","Health and
personal
care",1042
3rd quarter 2018,"Total
E-commerce","Sporting goods, hobby
musical instrument,
and books",1889
3rd quarter 2018,"Total
E-commerce","Miscellaneous
including gasoline
stations",3152
3rd quarter 2018,"Total Store and
Non-store
Sales",Nonstore retailers,114152
3rd quarter 2018,"Total
E-commerce",Nonstore retailers,70917
2nd quarter 2018,"Total Store and
Non-store
Sales",Total Retail Trade,1328390
2nd quarter 2018,"Total
E-commerce",Total Retail Trade,119597
2nd quarter 2018,"Total Store and
Non-store
Sales","Motor vehicle
and parts",313311
2nd quarter 2018,"Total
E-commerce","Motor vehicle
and parts",9133
2nd quarter 2018,"Total Store and
Non-store
Sales","Furniture, building materials,
and electronics",168700
2nd quarter 2018,"Total
E-commerce","Furniture, building materials,
and electronics",13834
2nd quarter 2018,"Total
E-commerce","Furniture and
home
furnishings",2478
2nd quarter 2018,"Total
E-commerce",Electronics and appliance,7747
2nd quarter 2018,"Total
E-commerce","Building materials,
garden equipment
and supplies",3609
2nd quarter 2018,"Total Store and
Non-store
Sales","Clothing and
general merchandise",253598
2nd quarter 2018,"Total
E-commerce","Clothing and
general merchandise",18396
2nd quarter 2018,"Total
E-commerce","Clothing and
clothing
accessories",8953
2nd quarter 2018,"Total
E-commerce","General
merchandise",9443
2nd quarter 2018,"Total Store and
Non-store
Sales",All other,477589
2nd quarter 2018,"Total
E-commerce",All other,7585
2nd quarter 2018,"Total
E-commerce","Food and
beverage",1417
2nd quarter 2018,"Total
E-commerce","Health and
personal
care",1227
2nd quarter 2018,"Total
E-commerce","Sporting goods, hobby
musical instrument,
and books",1703
2nd quarter 2018,"Total
E-commerce","Miscellaneous
including gasoline
stations",3238
2nd quarter 2018,"Total Store and
Non-store
Sales",Nonstore retailers,115192
2nd quarter 2018,"Total
E-commerce",Nonstore retailers,70649
1st quarter 2018,"Total Store and
Non-store
Sales",Total Retail Trade,1214805
1st quarter 2018,"Total
E-commerce",Total Retail Trade,111690
1st quarter 2018,"Total Store and
Non-store
Sales","Motor vehicle
and parts",287529
1st quarter 2018,"Total
E-commerce","Motor vehicle
and parts",8172
1st quarter 2018,"Total Store and
Non-store
Sales","Furniture, building materials,
and electronics",138049
1st quarter 2018,"Total
E-commerce","Furniture, building materials,
and electronics",12734
1st quarter 2018,"Total
E-commerce","Furniture and
home
furnishings",2325
1st quarter 2018,"Total
E-commerce",Electronics and appliance,7661
1st quarter 2018,"Total
E-commerce","Building materials,
garden equipment
and supplies",2748
1st quarter 2018,"Total Store and
Non-store
Sales","Clothing and
general merchandise",230762
1st quarter 2018,"Total
E-commerce","Clothing and
general merchandise",16394
1st quarter 2018,"Total
E-commerce","Clothing and
clothing
accessories",8489
1st quarter 2018,"Total
E-commerce","General
merchandise",7905
1st quarter 2018,"Total Store and
Non-store
Sales",All other,443823
1st quarter 2018,"Total
E-commerce",All other,7577
1st quarter 2018,"Total
E-commerce","Food and
beverage",1442
1st quarter 2018,"Total
E-commerce","Health and
personal
care",1129
1st quarter 2018,"Total
E-commerce","Sporting goods, hobby
musical instrument,
and books",1834
1st quarter 2018,"Total
E-commerce","Miscellaneous
including gasoline
stations",3172
1st quarter 2018,"Total Store and
Non-store
Sales",Nonstore retailers,114642
1st quarter 2018,"Total
E-commerce",Nonstore retailers,66813
1st quarter 2024(p),"Total Store and
Non-store
Sales","Furniture and
home
furnishings",26593.16481
1st quarter 2024(p),"Total Store and
Non-store
Sales",Electronics and appliance,93481.13829
1st quarter 2024(p),"Total Store and
Non-store
Sales","Building materials,
garden equipment
and supplies",61625.69689
4th quarter 2023,"Total Store and
Non-store
Sales","Furniture and
home
furnishings",30506.25787
4th quarter 2023,"Total Store and
Non-store
Sales",Electronics and appliance,110626.5077
4th quarter 2023,"Total Store and
Non-store
Sales","Building materials,
garden equipment
and supplies",66857.23441
3rd quarter 2023,"Total Store and
Non-store
Sales","Furniture and
home
furnishings",32120.85072
3rd quarter 2023,"Total Store and
Non-store
Sales",Electronics and appliance,99636.45214
3rd quarter 2023,"Total Store and
Non-store
Sales","Building materials,
garden equipment
and supplies",75444.69714
2nd quarter 2023,"Total Store and
Non-store
Sales","Furniture and
home
furnishings",33736.47307
2nd quarter 2023,"Total Store and
Non-store
Sales",Electronics and appliance,97092.62009
2nd quarter 2023,"Total Store and
Non-store
Sales","Building materials,
garden equipment
and supplies",89341.90684
1st quarter 2023,"Total Store and
Non-store
Sales","Furniture and
home
furnishings",31765.8044
1st quarter 2023,"Total Store and
Non-store
Sales",Electronics and appliance,93450.21199
1st quarter 2023,"Total Store and
Non-store
Sales","Building materials,
garden equipment
and supplies",65128.98361
4th quarter 2022,"Total Store and
Non-store
Sales","Furniture and
home
furnishings",37647.4341
4th quarter 2022,"Total Store and
Non-store
Sales",Electronics and appliance,110732.1477
4th quarter 2022,"Total Store and
Non-store
Sales","Building materials,
garden equipment
and supplies",66005.41824
3rd quarter 2022,"Total Store and
Non-store
Sales","Furniture and
home
furnishings",39136.66312
3rd quarter 2022,"Total Store and
Non-store
Sales",Electronics and appliance,103160.0299
3rd quarter 2022,"Total Store and
Non-store
Sales","Building materials,
garden equipment
and supplies",73856.30703
2nd quarter 2022,"Total Store and
Non-store
Sales","Furniture and
home
furnishings",41105.46238
2nd quarter 2022,"Total Store and
Non-store
Sales",Electronics and appliance,97291.58025
2nd quarter 2022,"Total Store and
Non-store
Sales","Building materials,
garden equipment
and supplies",89654.95737
1st quarter 2022,"Total Store and
Non-store
Sales","Furniture and
home
furnishings",34278.94237
1st quarter 2022,"Total Store and
Non-store
Sales",Electronics and appliance,94853.66168
1st quarter 2022,"Total Store and
Non-store
Sales","Building materials,
garden equipment
and supplies",61831.39595
4th quarter 2021,"Total Store and
Non-store
Sales","Furniture and
home
furnishings",36130.12047
4th quarter 2021,"Total Store and
Non-store
Sales",Electronics and appliance,118829.937
4th quarter 2021,"Total Store and
Non-store
Sales","Building materials,
garden equipment
and supplies",58610.94251
3rd quarter 2021,"Total Store and
Non-store
Sales","Furniture and
home
furnishings",38315.63518
3rd quarter 2021,"Total Store and
Non-store
Sales",Electronics and appliance,98107.1996
3rd quarter 2021,"Total Store and
Non-store
Sales","Building materials,
garden equipment
and supplies",66565.16522
2nd quarter 2021,"Total Store and
Non-store
Sales","Furniture and
home
furnishings",40327.13284
2nd quarter 2021,"Total Store and
Non-store
Sales",Electronics and appliance,102311.7422
2nd quarter 2021,"Total Store and
Non-store
Sales","Building materials,
garden equipment
and supplies",77641.12495
1st quarter 2021,"Total Store and
Non-store
Sales","Furniture and
home
furnishings",33415.67164
1st quarter 2021,"Total Store and
Non-store
Sales",Electronics and appliance,93270.11645
1st quarter 2021,"Total Store and
Non-store
Sales","Building materials,
garden equipment
and supplies",52422.21191
4th quarter 2020,"Total Store and
Non-store
Sales","Furniture and
home
furnishings",33321.27974
4th quarter 2020,"Total Store and
Non-store
Sales",Electronics and appliance,106908.6688
4th quarter 2020,"Total Store and
Non-store
Sales","Building materials,
garden equipment
and supplies",51192.05143
3rd quarter 2020,"Total Store and
Non-store
Sales","Furniture and
home
furnishings",32353.25779
3rd quarter 2020,"Total Store and
Non-store
Sales",Electronics and appliance,93505.95961
3rd quarter 2020,"Total Store and
Non-store
Sales","Building materials,
garden equipment
and supplies",60015.7826
2nd quarter 2020,"Total Store and
Non-store
Sales","Furniture and
home
furnishings",29233.70111
2nd quarter 2020,"Total Store and
Non-store
Sales",Electronics and appliance,89125.1128
2nd quarter 2020,"Total Store and
Non-store
Sales","Building materials,
garden equipment
and supplies",59010.1861
1st quarter 2020,"Total Store and
Non-store
Sales","Furniture and
home
furnishings",28070.97359
1st quarter 2020,"Total Store and
Non-store
Sales",Electronics and appliance,72585.48318
1st quarter 2020,"Total Store and
Non-store
Sales","Building materials,
garden equipment
and supplies",43364.54323
4th quarter 2019,"Total Store and
Non-store
Sales","Furniture and
home
furnishings",32860.33943
4th quarter 2019,"Total Store and
Non-store
Sales",Electronics and appliance,92469.88301
4th quarter 2019,"Total Store and
Non-store
Sales","Building materials,
garden equipment
and supplies",40992.77756
3rd quarter 2019,"Total Store and
Non-store
Sales","Furniture and
home
furnishings",34215.10765
3rd quarter 2019,"Total Store and
Non-store
Sales",Electronics and appliance,81263.82416
3rd quarter 2019,"Total Store and
Non-store
Sales","Building materials,
garden equipment
and supplies",45624.06819
2nd quarter 2019,"Total Store and
Non-store
Sales","Furniture and
home
furnishings",34238.86528
2nd quarter 2019,"Total Store and
Non-store
Sales",Electronics and appliance,82295.99663
2nd quarter 2019,"Total Store and
Non-store
Sales","Building materials,
garden equipment
and supplies",50990.13809
1st quarter 2019,"Total Store and
Non-store
Sales","Furniture and
home
furnishings",28026.02145
1st quarter 2019,"Total Store and
Non-store
Sales",Electronics and appliance,78041.6905
1st quarter 2019,"Total Store and
Non-store
Sales","Building materials,
garden equipment
and supplies",34637.28805
4th quarter 2018,"Total Store and
Non-store
Sales","Furniture and
home
furnishings",29224.8953
4th quarter 2018,"Total Store and
Non-store
Sales",Electronics and appliance,103772.9098
4th quarter 2018,"Total Store and
Non-store
Sales","Building materials,
garden equipment
and supplies",33483.1949
3rd quarter 2018,"Total Store and
Non-store
Sales","Furniture and
home
furnishings",29417.29477
3rd quarter 2018,"Total Store and
Non-store
Sales",Electronics and appliance,92685.09814
3rd quarter 2018,"Total Store and
Non-store
Sales","Building materials,
garden equipment
and supplies",37928.60709
2nd quarter 2018,"Total Store and
Non-store
Sales","Furniture and
home
furnishings",30218.20153
2nd quarter 2018,"Total Store and
Non-store
Sales",Electronics and appliance,94471.51222
2nd quarter 2018,"Total Store and
Non-store
Sales","Building materials,
garden equipment
and supplies",44010.28625
1st quarter 2018,"Total Store and
Non-store
Sales","Furniture and
home
furnishings",25205.27132
1st quarter 2018,"Total Store and
Non-store
Sales",Electronics and appliance,83052.72412
1st quarter 2018,"Total Store and
Non-store
Sales","Building materials,
garden equipment
and supplies",29791.00455
